,SalesPrice,Housing_Details,Broker,address
129,"C$545,000",2 bds2 ba703 sqft - Condo for sale,"MLS® ID #R2866206, CITY 2 CITY REAL ESTATE SERVICES INC. BROKERAGE","11862 226th St #106, Maple Ridge, BC V2X 9C8"
130,"C$590,000",1 bd1 ba467 sqft - Condo for sale,"MLS® ID #R2866554, DEXTER REALTY BROKERAGE","1308 Hornby St #1205, Vancouver, BC V6Z 0C5"
131,"C$1,199,900","4 bds4 ba2,464 sqft - House for sale","MLS® ID #R2866270, EXP REALTY BROKERAGE","18461 66a Ave, Surrey, BC V3S 9B1"
132,"C$1,499,999","7 bds5 ba3,822 sqft - House for sale","MLS® ID #R2864044, SRS PANORAMA REALTY BROKERAGE","11729 98th Ave, Surrey, BC V3V 2J1"
133,"C$599,900",2 bds2 ba928 sqft - Condo for sale,"MLS® ID #R2866628, ROYAL LEPAGE SUSSEX BROKERAGE","10707 139th St #409, Surrey, BC V3T 0B2"
134,"C$845,000",2 bds2 ba785 sqft - Condo for sale,"MLS® ID #R2866432, RENNIE & ASSOCIATES REALTY LTD. BROKERAGE","5665 Boundary Rd #2607, Vancouver, BC V5R 0E4"
135,"C$838,000","3 bds2 ba1,550 sqft - Townhouse for sale","MLS® ID #R2866673, SUTTON GROUP-WEST COAST REALTY BROKERAGE","7493 140th St #267, Surrey, BC V3W 6G5"
136,"C$3,199,000","6 bds4 ba4,854 sqft - House for sale","MLS® ID #R2865765, LABOUTIQUE REALTY BROKERAGE","310 Macbeth Cres, West Vancouver, BC V7T 1V7"
137,"C$695,000",1 bd1 ba621 sqft - Condo for sale,"MLS® ID #R2866243, MACDONALD COMMERCIAL REAL ESTATE SERVICES LTD. BROKERAGE","833 Seymour St #1812, Vancouver, BC V6B 0G4"
138,"C$529,000",1 bd1 ba745 sqft - Condo for sale,"MLS® ID #R2867018, MACDONALD REALTY BROKERAGE","235 Keith Rd #1234, West Vancouver, BC V7T 1L5"
139,"C$549,500",2 bds2 ba869 sqft - Condo for sale,"MLS® ID #R2866495, EXP REALTY BROKERAGE","22318 Lougheed Hwy #502, Maple Ridge, BC V2X 2T4"
140,"C$12,500,000","5 bds8 ba5,956 sqft - House for sale","MLS® ID #R2861565, RENNIE & ASSOCIATES REALTY - JASON SOPROVICH BROKERAGE","4382 Ross Cres, West Vancouver, BC V7W 1B2"
